Datetime,Load (kW),Price (INR/kWh)
2025-01-08 00:00:00,2386109.5,2.51022
2025-01-08 01:00:00,2246780.5,2.51022
2025-01-08 02:00:00,2063867.38,2.51022
2025-01-08 03:00:00,2012110.75,2.51022
2025-01-08 04:00:00,1967757.63,2.51022
2025-01-08 05:00:00,1923762.88,2.51022
2025-01-08 06:00:00,1844005.5,2.51022
2025-01-08 07:00:00,1722874.13,2.51022
2025-01-08 08:00:00,1475774.63,2.51022
2025-01-08 09:00:00,1705535.63,2.51022
2025-01-08 10:00:00,1818490.25,2.51022
2025-01-08 11:00:00,2037703.5,2.51022
2025-01-08 12:00:00,2069207.5,2.51022
2025-01-08 13:00:00,2120790.0,2.51022
2025-01-08 14:00:00,2078713.0,2.51022
2025-01-08 15:00:00,2104870.0,2.51022
2025-01-08 16:00:00,2144203.75,2.51022
2025-01-08 17:00:00,2154853.25,2.51022
2025-01-08 18:00:00,2170439.75,2.51022
2025-01-08 19:00:00,2037862.5,2.51022
2025-01-08 20:00:00,2337959.0,2.51022
2025-01-08 21:00:00,2217538.25,2.51022
2025-01-08 22:00:00,2159329.25,2.51022
2025-01-08 23:00:00,2475301.0,2.51022
